INDUSTRY,AVG_INDUSTRY_PCT_22_23,AVG_INDUSTRY_PCT_23_24
auto & transportation,25.56,14.27
artificial intelligence,19.56,16.25
other,18.29,33.82
fintech,9.59,8.31
e-commerce & direct-to-consumer,6.06,13.99
consumer & retail,4.76,17.36
cybersecurity,3.70,12.53
internet software & services,1.35,16.40
edtech,0.68,20.18
health,0.00,11.46
data management & analytics,-0.92,15.73
hardware,-2.13,14.81
mobile & telecommunications,-3.40,14.29
"supply chain, logistics, & delivery",-3.46,27.13
travel,-15.43,111.11
